gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
fist,0.0,0.0,0.0,-0.06252354383468628,-0.016257941722869873,-0.017864726411062293,-0.1247105598449707,-0.06496500968933105,-0.026842649953323416,-0.13952654600143433,-0.12044781446456909,-0.03789415016944986,-0.09730362892150879,-0.13677674531936646,-0.0428897272067843,-0.09577244520187378,-0.19501882791519165,0.007800325358402915,-0.13184845447540283,-0.2035467028617859,-0.020083296971279196,-0.11536765098571777,-0.1373576521873474,-0.033139349819975905,-0.10116887092590332,-0.13298380374908447,-0.040158154370146804,-0.05934339761734009,-0.20950746536254883,0.002193954846006818,-0.09770035743713379,-0.21388205885887146,-0.028169993238407187,-0.08275818824768066,-0.13431978225708008,-0.025959284903365187,-0.06742602586746216,-0.13279038667678833,-0.015876453297096305,-0.02128469944000244,-0.20994174480438232,-0.010971665309625678,-0.05902230739593506,-0.2124595046043396,-0.041316023023682646,-0.050616562366485596,-0.13367438316345215,-0.02537285342987161,-0.03520464897155762,-0.12814176082611084,-0.00556662205781322,0.0193941593170166,-0.19798403978347778,-0.027271065788227133,-0.01808875799179077,-0.20125442743301392,-0.04172126010234933,-0.021551847457885742,-0.14655089378356934,-0.0303586255031405,-0.010779500007629395,-0.13586455583572388,-0.016988113449770026
fist,0.0,0.0,0.0,-0.06503653526306152,-0.020489215850830078,-0.01765501634309885,-0.12655550241470337,-0.07037341594696045,-0.0263539808345854,-0.13784337043762207,-0.12469452619552612,-0.03749861144552824,-0.09343487024307251,-0.13920748233795166,-0.04290473037491438,-0.09773701429367065,-0.1947670578956604,0.010387799282568722,-0.13187754154205322,-0.20544999837875366,-0.017544099549752445,-0.11551803350448608,-0.14054566621780396,-0.030988249416452618,-0.10166943073272705,-0.13569742441177368,-0.03816364654431936,-0.06132948398590088,-0.2091255784034729,0.0046712537752569006,-0.09764993190765381,-0.21875184774398804,-0.026501323516470165,-0.08335322141647339,-0.13844043016433716,-0.02585894563327429,-0.06836897134780884,-0.13386321067810059,-0.01620957017968294,-0.02253425121307373,-0.21041321754455566,-0.00867118728439209,-0.05756336450576782,-0.21558880805969238,-0.039658497507673474,-0.05010885000228882,-0.13552242517471313,-0.0250615844977915,-0.0356404185295105,-0.12723767757415771,-0.005385315000069113,0.019268691539764404,-0.1993948221206665,-0.025031197304826946,-0.016568481922149658,-0.20460671186447144,-0.038914691145521374,-0.020366907119750977,-0.1502896547317505,-0.027417087416154118,-0.010042726993560791,-0.1394076943397522,-0.013741178858083458
fist,0.0,0.0,0.0,-0.06589043140411377,-0.02084529399871826,-0.017425373472349293,-0.12749159336090088,-0.06984937191009521,-0.026315981797949917,-0.13937503099441528,-0.12406378984451294,-0.037769254572765476,-0.09528893232345581,-0.13923650979995728,-0.043479312487022526,-0.09894829988479614,-0.19534188508987427,0.0106285947411493,-0.1325741410255432,-0.2057875394821167,-0.017204454444424755,-0.11629319190979004,-0.14059299230575562,-0.030505219750182277,-0.10269784927368164,-0.13592445850372314,-0.037610084094183094,-0.06265616416931152,-0.20973819494247437,0.004692561183048838,-0.09817200899124146,-0.21856507658958435,-0.026406426258461124,-0.08391642570495605,-0.1381068229675293,-0.025745744161383755,-0.06927257776260376,-0.13407641649246216,-0.01618161638833726,-0.023978710174560547,-0.2109636664390564,-0.008840513691382057,-0.058331429958343506,-0.215459406375885,-0.039800200887100345,-0.050975263118743896,-0.1352894902229309,-0.025103427745477802,-0.036759376525878906,-0.12718385457992554,-0.005423891168163664,0.01761835813522339,-0.19988465309143066,-0.02538009946800912,-0.017925143241882324,-0.20523113012313843,-0.03901032385982717,-0.022026360034942627,-0.15015310049057007,-0.027176149465219623,-0.012063443660736084,-0.13837748765945435,-0.013303309954778797
fist,0.0,0.0,0.0,-0.06574022769927979,-0.020768821239471436,-0.017537130789946787,-0.12764382362365723,-0.0702129602432251,-0.026501965524744264,-0.13944590091705322,-0.1246601939201355,-0.038018717246245615,-0.0946953296661377,-0.13949358463287354,-0.04380772151250767,-0.09861934185028076,-0.19533997774124146,0.010368141529966124,-0.1327296495437622,-0.20651930570602417,-0.017808542402576677,-0.11628425121307373,-0.14104270935058594,-0.03124547079403328,-0.10228043794631958,-0.13615596294403076,-0.038315321134518854,-0.062228500843048096,-0.20962917804718018,0.004499202778447398,-0.09788680076599121,-0.21932071447372437,-0.02683270424802231,-0.08382630348205566,-0.13888263702392578,-0.026196275653433077,-0.06916779279708862,-0.13460981845855713,-0.01657623127300667,-0.02356255054473877,-0.21086907386779785,-0.009012294748913519,-0.05789363384246826,-0.2163083553314209,-0.04017495997447895,-0.0506056547164917,-0.13619428873062134,-0.025570741670321695,-0.03629004955291748,-0.12782400846481323,-0.0058563717660717884,0.018095850944519043,-0.2001015543937683,-0.025524667279910318,-0.017615556716918945,-0.2060522437095642,-0.039188070969771616,-0.021634161472320557,-0.15073883533477783,-0.027386565508436433,-0.011503398418426514,-0.13850092887878418,-0.01352105923194813
fist,0.0,0.0,0.0,-0.0638154149055481,-0.01930946111679077,-0.01650917701005028,-0.12439978122711182,-0.06464380025863647,-0.025955615411987765,-0.14031559228897095,-0.11729282140731812,-0.037938559274664385,-0.10015356540679932,-0.13737332820892334,-0.04480883277534531,-0.09952163696289062,-0.18857038021087646,0.00876037232995941,-0.13146400451660156,-0.20466381311416626,-0.01954063757835911,-0.1161491870880127,-0.14281922578811646,-0.033880112539520724,-0.10231739282608032,-0.13064682483673096,-0.04097626529215859,-0.063315749168396,-0.2034105658531189,0.002604764806562798,-0.09708017110824585,-0.22007852792739868,-0.02820179223596142,-0.0841948390007019,-0.14162492752075195,-0.029250055398335917,-0.07051205635070801,-0.12969893217086792,-0.02075272224425362,-0.02455902099609375,-0.2060304880142212,-0.01058192442684458,-0.056682705879211426,-0.2166169285774231,-0.04110644556163834,-0.04988861083984375,-0.13839280605316162,-0.028016816671481592,-0.03778558969497681,-0.12405991554260254,-0.009439474749854071,0.017374515533447266,-0.1971597671508789,-0.02642569116829918,-0.015048861503601074,-0.20637381076812744,-0.04018578104256676,-0.019021987915039062,-0.1512489914894104,-0.028477670471659167,-0.01118093729019165,-0.13637775182724,-0.014613916944256289
fist,0.0,0.0,0.0,-0.06321895122528076,-0.017504096031188965,-0.015661620407286136,-0.12424564361572266,-0.06319320201873779,-0.02424797868627593,-0.13920658826828003,-0.11737263202667236,-0.035402041732254474,-0.09863406419754028,-0.13701683282852173,-0.0416425884355931,-0.10018742084503174,-0.18912893533706665,0.009083548688408882,-0.13157474994659424,-0.201873779296875,-0.018216498999777286,-0.11562901735305786,-0.14105314016342163,-0.03233412361043975,-0.10220605134963989,-0.12779206037521362,-0.03967072895068213,-0.06369400024414062,-0.2057839035987854,0.002491803036150486,-0.09721481800079346,-0.21659991145133972,-0.02722002646225974,-0.08316856622695923,-0.13900774717330933,-0.02811908429760024,-0.07028007507324219,-0.12737613916397095,-0.020101030229511707,-0.02436089515686035,-0.20850107073783875,-0.011003202631059139,-0.05647766590118408,-0.2147229015827179,-0.04078193834322974,-0.04881662130355835,-0.13738220930099487,-0.027870016976180523,-0.03779953718185425,-0.12411636114120483,-0.010010791814806907,0.01789271831512451,-0.19869673252105713,-0.02711154042083308,-0.014335870742797852,-0.20410937070846558,-0.0409043551077275,-0.017697453498840332,-0.14968401193618774,-0.02956941617924258,-0.010589957237243652,-0.13622361421585083,-0.016287666617813557
fist,0.0,0.0,0.0,-0.06261444091796875,-0.016427159309387207,-0.014970463132954137,-0.12350893020629883,-0.062336087226867676,-0.023000104716516034,-0.13795852661132812,-0.1162676215171814,-0.03360778315970947,-0.09762382507324219,-0.13544237613677979,-0.03940547480294754,-0.09980231523513794,-0.18708795309066772,0.008870977544688685,-0.1307430863380432,-0.2009294033050537,-0.017981481170750158,-0.11525726318359375,-0.14033710956573486,-0.03159093706915428,-0.10210174322128296,-0.12690508365631104,-0.038564624628520505,-0.06339055299758911,-0.20332103967666626,0.0021938214632655217,-0.09677696228027344,-0.2158818542957306,-0.0269011095077758,-0.08301925659179688,-0.13883543014526367,-0.02737950942525913,-0.0700681209564209,-0.12688487768173218,-0.019149881219959752,-0.02407538890838623,-0.2060270607471466,-0.011235299883878724,-0.05615067481994629,-0.21396461129188538,-0.040517630419230954,-0.04857754707336426,-0.13698261976242065,-0.02753098345408489,-0.03747063875198364,-0.12332439422607422,-0.009718774250245588,0.018402576446533203,-0.19651252031326294,-0.027162121972537534,-0.013873279094696045,-0.20337837934494019,-0.040736703565812604,-0.017302751541137695,-0.14912128448486328,-0.02937622963497688,-0.010205566883087158,-0.13520348072052002,-0.016127610942817228
fist,0.0,0.0,0.0,-0.05866366624832153,-0.013937950134277344,-0.014862815022240738,-0.11876845359802246,-0.05758899450302124,-0.02525540451682673,-0.1271190047264099,-0.11441367864608765,-0.03786727423943148,-0.08497291803359985,-0.14172637462615967,-0.046269290253292183,-0.0958746075630188,-0.17016011476516724,0.00074620412266313,-0.12217026948928833,-0.2003297507762909,-0.03005722548044787,-0.1098451018333435,-0.14195215702056885,-0.04537130157626734,-0.0968552827835083,-0.12361204624176025,-0.05228782828129397,-0.05758923292160034,-0.1858065128326416,-0.006569270614306788,-0.08676302433013916,-0.21602651476860046,-0.03908402483142481,-0.07521367073059082,-0.1402110457420349,-0.04082011069334612,-0.0604129433631897,-0.12538349628448486,-0.0323798732010232,-0.01803523302078247,-0.18980121612548828,-0.01999645131803618,-0.044425785541534424,-0.2126004993915558,-0.051019955530534844,-0.03874504566192627,-0.13813632726669312,-0.037760328605543236,-0.027119040489196777,-0.12469345331192017,-0.019166970729600052,0.025095582008361816,-0.18429547548294067,-0.035538990154634575,-0.0019997358322143555,-0.20253777503967285,-0.049983538791309456,-0.005638301372528076,-0.1498151421546936,-0.03742951537645922,0.002228975296020508,-0.1360684037208557,-0.02299705158151255
fist,0.0,0.0,0.0,-0.06074249744415283,-0.010256946086883545,-0.01481871993223649,-0.12209641933441162,-0.05545860528945923,-0.02406424225250703,-0.12669509649276733,-0.11253279447555542,-0.03560085349658948,-0.08340412378311157,-0.13554996252059937,-0.04304476209858876,-0.09913986921310425,-0.16641831398010254,0.0009742167364947818,-0.12554168701171875,-0.19759517908096313,-0.029554487550058184,-0.11288511753082275,-0.14001262187957764,-0.044475739234485445,-0.09954643249511719,-0.1214173436164856,-0.051067223185100374,-0.06093853712081909,-0.1821812391281128,-0.0061943250423155405,-0.0891728401184082,-0.21273106336593628,-0.038533070468702135,-0.07761567831039429,-0.1369326114654541,-0.04004099720100385,-0.06364607810974121,-0.12136280536651611,-0.03126214944700223,-0.02146810293197632,-0.18577933311462402,-0.01954458967725259,-0.04679417610168457,-0.2090841829776764,-0.0507750672934435,-0.0402560830116272,-0.13405728340148926,-0.03764448069910031,-0.029207587242126465,-0.11985468864440918,-0.01883700990060788,0.021979808807373047,-0.17975443601608276,-0.03500899800042134,-0.0040204524993896484,-0.19911545515060425,-0.04956424363831502,-0.0071173906326293945,-0.14683818817138672,-0.036814761692085085,-0.00025457143783569336,-0.13247060775756836,-0.02205724582950097
fist,0.0,0.0,0.0,-0.06112867593765259,-0.010927796363830566,-0.013227783408808591,-0.12150329351425171,-0.05556410551071167,-0.022422834564792993,-0.12656909227371216,-0.11254215240478516,-0.0343677841917156,-0.08210217952728271,-0.13504499197006226,-0.04273068838273275,-0.09804433584213257,-0.1638820767402649,0.001441111290034769,-0.12415647506713867,-0.19688954949378967,-0.02861008540247667,-0.11237537860870361,-0.14129233360290527,-0.04377936132704008,-0.099148690700531,-0.1216992735862732,-0.050544633795368554,-0.05989259481430054,-0.17910772562026978,-0.006602840297716739,-0.08777862787246704,-0.2118183970451355,-0.03813264079843748,-0.07707804441452026,-0.13782525062561035,-0.040288402964222314,-0.06311535835266113,-0.12097281217575073,-0.03223159470115888,-0.020241916179656982,-0.18257015943527222,-0.020500608985173585,-0.04620194435119629,-0.20992714166641235,-0.05102105744634855,-0.040048837661743164,-0.13623583316802979,-0.0385535389975189,-0.028441190719604492,-0.1198611855506897,-0.02031206831787813,0.02349787950515747,-0.176222026348114,-0.03627829932128179,-0.004134833812713623,-0.20049750804901123,-0.05029066957985151,-0.007859885692596436,-0.1483953595161438,-0.03725925766383398,-0.00021970272064208984,-0.1306360960006714,-0.022397878845083596
fist,0.0,0.0,0.0,-0.05793356895446777,-0.015253245830535889,-0.012851675630855652,-0.10729289054870605,-0.06791025400161743,-0.02066717169557819,-0.11687660217285156,-0.12258630990982056,-0.03087629436825523,-0.10424023866653442,-0.16820308566093445,-0.03899564280484924,-0.082164466381073,-0.18405038118362427,0.00626286479334226,-0.09494709968566895,-0.21734178066253662,-0.02382978855942497,-0.10087132453918457,-0.1988936960697174,-0.043229967945563885,-0.10055994987487793,-0.17079877853393555,-0.051683121019351574,-0.046138226985931396,-0.1967790722846985,-0.0023031522364647117,-0.07278168201446533,-0.22443008422851562,-0.03637018113707313,-0.072928786277771,-0.15726184844970703,-0.045217943036305996,-0.06351011991500854,-0.11900192499160767,-0.040254090571153256,-0.007389366626739502,-0.19416683912277222,-0.01656287036215076,-0.029125094413757324,-0.20260852575302124,-0.05026741384838829,-0.03066551685333252,-0.1358310580253601,-0.04396899848555336,-0.023601949214935303,-0.10924655199050903,-0.028690379702794644,0.033038556575775146,-0.17917683720588684,-0.03224353551243553,0.014833152294158936,-0.1932862401008606,-0.050683010959375,0.0071038007736206055,-0.14442116022109985,-0.04053865059589157,0.008929312229156494,-0.12417399883270264,-0.02631711832557926
fist,0.0,0.0,0.0,-0.05662703514099121,-0.01552814245223999,-0.014298503759135883,-0.10524743795394897,-0.06627941131591797,-0.023308512295415085,-0.11566299200057983,-0.12166357040405273,-0.034184979746868294,-0.10346460342407227,-0.16733640432357788,-0.042425765196611565,-0.08641606569290161,-0.1769532859325409,0.0018509266601824947,-0.10164380073547363,-0.21486660838127136,-0.028687157208850067,-0.10422199964523315,-0.19513699412345886,-0.04655048857145516,-0.1034168004989624,-0.17081350088119507,-0.054255201021959465,-0.050100862979888916,-0.19100648164749146,-0.006065282977004927,-0.07372301816940308,-0.22261130809783936,-0.0410841167967817,-0.0710647702217102,-0.15534037351608276,-0.0489755743246576,-0.06119602918624878,-0.12040680646896362,-0.043407967786123436,-0.0100555419921875,-0.19043922424316406,-0.01948277885728089,-0.030493497848510742,-0.20281237363815308,-0.0539613165956041,-0.02983146905899048,-0.13521677255630493,-0.04573045904450623,-0.021866321563720703,-0.10933923721313477,-0.029256700078775566,0.03282451629638672,-0.17730778455734253,-0.0344596304994127,0.015164494514465332,-0.19476312398910522,-0.0533393495779535,0.008093118667602539,-0.14553606510162354,-0.042232731829216164,0.010381639003753662,-0.12441843748092651,-0.02740689041726796
fist,0.0,0.0,0.0,-0.05689340829849243,-0.01522815227508545,-0.01429972825241066,-0.10484492778778076,-0.06663095951080322,-0.023127283245742092,-0.11411529779434204,-0.1228742003440857,-0.03400936657232023,-0.10350579023361206,-0.1691141128540039,-0.043815187454640636,-0.08264541625976562,-0.17799925804138184,0.00016030574664682717,-0.08965551853179932,-0.22380685806274414,-0.027034811020314464,-0.09091085195541382,-0.23891818523406982,-0.04567987778824545,-0.08986294269561768,-0.24581244587898254,-0.056340377122580776,-0.046645939350128174,-0.18978551030158997,-0.00805655708205677,-0.07179653644561768,-0.21960875391960144,-0.04405461186212278,-0.07084482908248901,-0.15468573570251465,-0.0529434264604447,-0.06231081485748291,-0.11988574266433716,-0.048208899140774975,-0.008050143718719482,-0.18806427717208862,-0.021137365416109333,-0.028689682483673096,-0.20245200395584106,-0.05660567367118574,-0.028705716133117676,-0.13654232025146484,-0.04778705844324804,-0.021400094032287598,-0.10945504903793335,-0.030660170406520137,0.03355741500854492,-0.1745804250240326,-0.03587346085947729,0.01607614755630493,-0.19606921076774597,-0.05653216996830679,0.007907688617706299,-0.14796090126037598,-0.045301447898566494,0.009153246879577637,-0.12486070394515991,-0.030138277724802265
fist,0.0,0.0,0.0,-0.058386921882629395,-0.01178431510925293,-0.0203154396607772,-0.11571621894836426,-0.05909931659698486,-0.03247064653479015,-0.11563819646835327,-0.11881005764007568,-0.04611759934269344,-0.06777656078338623,-0.13554245233535767,-0.05536747652732288,-0.09937864542007446,-0.16050651669502258,-0.0031641402623847625,-0.11731523275375366,-0.20009863376617432,-0.03437925431572353,-0.10593545436859131,-0.15064334869384766,-0.05076215717636501,-0.09463655948638916,-0.12738513946533203,-0.05811475518785869,-0.062013447284698486,-0.17980292439460754,-0.00827802460335647,-0.08005917072296143,-0.22179549932479858,-0.038855030421842685,-0.06959158182144165,-0.154995858669281,-0.041240847890009036,-0.0595020055770874,-0.13605260848999023,-0.03407667133652126,-0.02250880002975464,-0.18422186374664307,-0.020009576563467135,-0.036292970180511475,-0.22238785028457642,-0.05047581646286403,-0.033132195472717285,-0.15454256534576416,-0.03913177851282512,-0.027078688144683838,-0.13423234224319458,-0.02227258983694469,0.02065986394882202,-0.17639368772506714,-0.03431674394451534,0.007820546627044678,-0.20885896682739258,-0.04944080788337146,0.0032695531845092773,-0.16220033168792725,-0.03790882531248485,0.006546676158905029,-0.14130741357803345,-0.0243361324413911
fist,0.0,0.0,0.0,-0.061336517333984375,-0.01159590482711792,-0.01819259134694562,-0.11782491207122803,-0.05846846103668213,-0.02916157638296113,-0.11598968505859375,-0.11399948596954346,-0.042150546066608285,-0.06749802827835083,-0.12960302829742432,-0.0515649432466887,-0.1007920503616333,-0.1651962697505951,-0.0012122427263818736,-0.12090665102005005,-0.1981220841407776,-0.03145436962708459,-0.11103743314743042,-0.1484065055847168,-0.048385776780691,-0.10036647319793701,-0.12526488304138184,-0.05638220553859696,-0.06370562314987183,-0.18400582671165466,-0.008037603661563253,-0.08403056859970093,-0.22562682628631592,-0.03874234502777085,-0.07560741901397705,-0.1587217152118683,-0.04228216802343354,-0.06538552045822144,-0.13692575693130493,-0.03557374721034989,-0.024093329906463623,-0.18637019395828247,-0.021157860957231378,-0.040430307388305664,-0.22382429242134094,-0.05093308185800538,-0.038478851318359375,-0.15548411011695862,-0.04075564464196191,-0.03232383728027344,-0.13305824995040894,-0.02449424957498536,0.018953561782836914,-0.17457708716392517,-0.036733117155876016,0.0038393139839172363,-0.21032491326332092,-0.050998758725967264,-0.002737283706665039,-0.16235393285751343,-0.039104383640136575,-0.0002091526985168457,-0.13765782117843628,-0.02524924670919404
fist,0.0,0.0,0.0,-0.06202155351638794,-0.011883974075317383,-0.017227377908767494,-0.11956846714019775,-0.058940768241882324,-0.027701974081338676,-0.11796391010284424,-0.11621963977813721,-0.04046580025786284,-0.06914174556732178,-0.13202065229415894,-0.04963701048725966,-0.10370272397994995,-0.16178032755851746,-0.0010759761123892986,-0.12411826848983765,-0.20060250163078308,-0.0300694519453657,-0.11399155855178833,-0.1506299376487732,-0.04558142104977492,-0.10316342115402222,-0.12635254859924316,-0.052737945856989654,-0.06659889221191406,-0.1809450089931488,-0.008033249693454536,-0.08718830347061157,-0.22421744465827942,-0.037480922582091125,-0.0771867036819458,-0.15692269802093506,-0.040027788075150283,-0.06663036346435547,-0.13503146171569824,-0.032879287543238433,-0.02674621343612671,-0.18445807695388794,-0.021106479855717453,-0.04386264085769653,-0.2253144085407257,-0.05003415251010779,-0.04018247127532959,-0.15714532136917114,-0.03941465372079733,-0.03343367576599121,-0.13347482681274414,-0.023116907271088394,0.016723453998565674,-0.17422622442245483,-0.03653254562848929,0.0006931424140930176,-0.21149086952209473,-0.05079473385447386,-0.004449784755706787,-0.16356128454208374,-0.03893393481010321,-0.0011702775955200195,-0.13793444633483887,-0.025197547095359596
